Name,LevelCode,Level,Meetings
10X Dramatic Writing Studio,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Advanced Ceramic Sculpture ,4,Intermediate/Advanced,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Advanced Music Theory,4,Intermediate/Advanced,"[{""days"": ""WF"", ""start"": ""16:10:00"", ""end"": ""17:35:00""}]"
Advanced Studio Printmaking,5,Advanced,"[{""days"": ""TF"", ""start"": ""09:30:00"", ""end"": ""12:00:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Animals and Ethics,1,Introductory,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Archiving COA: a practicum,3,Intermediate,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Biology: Cellular Processes of Life,1,Introductory,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Biology: Cellular Processes of Life Lab A,1,Introductory,"[{""days"": ""M"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Biology: Cellular Processes of Life Lab B,1,Introductory,"[{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Chemistry I ,1,Introductory,"[{""days"": ""T"", ""start"": ""13:00:00"", ""end"": ""16:00:00""},{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Climate Justice,1,Introductory,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Collecting Nature: Exploration of Scientific Collection,1,Introductory,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""},{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
"Colonialism, Nationalism, and the Nation-State ",2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Communicating Science ,3,Intermediate,"[{""days"": ""F"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""R"", ""start"": ""16:10:00"", ""end"": ""17:35:00""}]"
Contemporary Dance Composition ,3,Intermediate,"[{""days"": ""MR"", ""start"": ""16:10:00"", ""end"": ""17:35:00""},{""days"": ""W"", ""start"": ""18:30:00"", ""end"": ""20:00:00""}]"
Demons from the Depths,4,Intermediate/Advanced,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""16:00:00""},{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Devices of Wonder: Moving Pictures ,4,Intermediate/Advanced,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Differential Equations,3,Intermediate,"[{""days"": ""MWR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
"Entry Point: Identity, Language, and Power ",3,Intermediate,"[{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""16:00:00""},{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Environmental History,1,Introductory,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Experiential Education,1,Introductory,"[{""days"": ""TF"", ""start"": ""16:10:00"", ""end"": ""17:35:00""}]"
Film Theory ,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Foundations of Human Nutrition,1,Introductory,"[{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Fundamentals of Drawing,1,Introductory,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Fundamentals of Painting ,1,Introductory,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Geographic Information Systems I: Foundations & Applications,2,Introductory/Intermediate,"[{""days"": ""TWF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Geology of National Parks,1,Introductory,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Histories of Race,4,Intermediate/Advanced,"[{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
How Writing Works: Looking Under the Hood ,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Introduction to Adolescent Psychology,1,Introductory,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Introduction to Macroeconomics ,1,Introductory,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Introduction to Statistics and Research Design,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""},{""days"": ""T"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
"Journeys: Writing for Voyagers, Trekkers, Wanderers",2,Introductory/Intermediate,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
"Life Stories: Memory, Family, and Place ",2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Midnight's Children,2,Introductory/Intermediate,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Music Theater Production ,4,Intermediate/Advanced,"[{""days"": ""MTRF"", ""start"": ""09:00:00"", ""end"": ""16:00:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""17:35:00""}]"
Native American Law,3,Intermediate,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Now what?: Finding purpose in chaotic times,1,Introductory,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Organic Chemistry I,3,Intermediate,"[{""days"": ""F"", ""start"": ""13:00:00"", ""end"": ""16:00:00""},{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Our Life with Words: Philosophies of Language,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
"Our Public Lands:  Past, Present, and Future",3,Intermediate,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""},{""days"": ""W"", ""start"": ""16:10:00"", ""end"": ""17:35:00""}]"
Philosophies of Good and Evil,1,Introductory,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Physics I,1,Introductory,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""},{""days"": ""W"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Plants and People: Economic Botany,1,Introductory,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
Political Economy of Artificial Intelligence,1,Introductory,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""},{""days"": ""W"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Sci-Fi & Sculpture: World-Building as Art Practice,1,Introductory,"[{""days"": ""TF"", ""start"": ""09:00:00"", ""end"": ""12:00:00""}]"
Stop Motion Animation ,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""16:00:00""}]"
Supporting Students with Disabilities in the Reg. Classroom,3,Intermediate,"[{""days"": ""W"", ""start"": ""16:10:00"", ""end"": ""19:30:00""}]"
Sustainable Architecture: Ecological Artifact,1,Introductory,"[{""days"": ""TF"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Sustainable Strategies,3,Intermediate,"[{""days"": ""MR"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
Teaching as an Act of Hope,1,Introductory,"[{""days"": ""MR"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
The Nature of Narrative II ,5,Advanced,"[{""days"": ""TF"", ""start"": ""10:35:00"", ""end"": ""12:00:00""}]"
The Power of Poetry: Six U.S. Women Poets ,2,Introductory/Intermediate,"[{""days"": ""TF"", ""start"": ""14:35:00"", ""end"": ""16:00:00""}]"
Thinking Critically about Current Events ,3,Intermediate,"[{""days"": ""MR"", ""start"": ""13:00:00"", ""end"": ""14:25:00""}]"
Transforming Food Systems,2,Introductory/Intermediate,"[{""days"": ""MR"", ""start"": ""09:00:00"", ""end"": ""10:25:00""}]"
YUCATAN: Advanced Self-Directed Cultural Immersion ,5,Advanced,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
YUCATAN: Immersion Practica in Spanish and Yucatecan Culture,3,Intermediate,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
YUCATAN: Spanish Pre-Registration,6,,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
YUCATAN: The Maya of Yesterday and Today ,3,Intermediate,"[{""days"": ""N\A"", ""start"": ""00:00:00"", ""end"": ""00:00:00""}]"
